id;input_adr;low_adr;upp_adr;cap_adr
48;3 rue desbassayns de richemont;3 rue desbassayns de richemont;3 RUE DESBASSAYNS DE RICHEMONT;3 Rue Desbassayns de Richemont
49;1 allée des bergeronnettes;1 allée des bergeronnettes;1 ALLÉE DES BERGERONNETTES;1 Allée des Bergeronnettes
50;1 avenue du maréchal juin;1 avenue du maréchal juin;1 AVENUE DU MARÉCHAL JUIN;1 Avenue du Maréchal Juin
51;4 rue de saint-cloud;4 rue de saint-cloud;4 RUE DE SAINT-CLOUD;4 Rue de Saint Cloud
52;9 rue jacques decour;9 rue jacques decour;9 RUE JACQUES DECOUR;9 Rue Jacques Decour
53;3 rue des velettes;3 rue des velettes;3 RUE DES VELETTES;3 Rue des Velettes
54;31 rue des bons raisins;31 rue des bons raisins;31 RUE DES BONS RAISINS;31 Rue des Bons Raisins
55;1 rue pierre dupont;1 rue pierre dupont;1 RUE PIERRE DUPONT;1 Rue Pierre Dupont
56;1 avenue justin godart;1 avenue justin godart;1 AVENUE JUSTIN GODART;1 Avenue Justin Godart
57;57 rue voltaire;57 rue voltaire;57 RUE VOLTAIRE;57 Rue Voltaire
58;3 allée du 8 mai 1945;3 allée du 8 mai 1945;3 ALLÉE DU 8 MAI 1945;3 Allée du 8 Mai 1945
59;2 allée scheurer kestner;2 allée scheurer kestner;2 ALLÉE SCHEURER KESTNER;2 Allée Scheurer Kestner
60;142 rue gambetta;142 rue gambetta;142 RUE GAMBETTA;142 Rue Gambetta
61;77 rue des bas rogers;77 rue des bas rogers;77 RUE DES BAS ROGERS;77 Rue des Bas Rogers
62;8 rue frédéric clavel;8 rue frédéric clavel;8 RUE FRÉDÉRIC CLAVEL;8 Rue Frédéric Clavel
63;4 avenue justin godart;4 avenue justin godart;4 AVENUE JUSTIN GODART;4 Avenue Justin Godart
64;82 rue de la liberté;82 rue de la liberté;82 RUE DE LA LIBERTÉ;82 Rue de la Liberté
65;11 rue de verdun;11 rue de verdun;11 RUE DE VERDUN;11 Rue de Verdun
66;27 rue pierre dupont;27 rue pierre dupont;27 RUE PIERRE DUPONT;27 Rue Pierre Dupont
67;8 rue ledru rollin;8 rue ledru rollin;8 RUE LEDRU ROLLIN;8 Rue Ledru Rollin
68;2 rue maurice payret-dortail;2 rue maurice payret dortail;2 RUE MAURICE PAYRET DORTAIL;2 Rue Maurice Payret Dortail
69;3 rue chevreul;3 rue chevreul;3 RUE CHEVREUL;3 Rue Chevreul
70;12 rue ledru rollin;12 rue ledru rollin;12 RUE LEDRU ROLLIN;12 Rue Ledru Rollin
71;27 allée de la pépinière;27 allée de la pépinière;27 ALLÉE DE LA PÉPINIÈRE;27 Allée de la Pépinière
72;20 allée des gros buisson;20 allée des gros buissons;20 ALLÉE DES GROS BUISSONS;20 Allée des Gros Buissons
73;16 avenue de la criolla;16 avenue de la criolla;16 AVENUE DE LA CRIOLLA;16 Avenue de la Criolla
74;10 rue jean macé;10 rue jean macé;10 RUE JEAN MACÉ;10 Rue Jean Macé
75;8 rue merlin de thionville;8 rue merlin de thionville;8 RUE MERLIN DE THIONVILLE;8 Rue Merlin de Thionville
76;19 rue gambetta;19 rue gambetta;19 RUE GAMBETTA;19 Rue Gambetta
77;28 rue du pas saint-maurice;28 rue du pas saint-maurice;28 RUE DU PAS SAINT-MAURICE;28 Rue du Pas Saint Maurice
78;27 rue des bourets;27 rue des bourets;27 RUE DES BOURETS;27 Rue des Bourets
79;82 avenue de fouilleuse;82 avenue de fouilleuse;82 AVENUE DE FOUILLEUSE;82 Avenue de Fouilleuse
80;10 rue de la liberté;10 rue de la liberté;10 RUE DE LA LIBERTÉ;10 Rue de la Liberté
81;5 allée des platanes;5 allée des platanes;5 ALLÉE DES PLATANES;5 Allée des Platanes
82;44 rue cluseret;44 rue cluseret;44 RUE CLUSERET;44 Rue Cluseret
83;8 rue du bac;8 rue du bac;8 RUE DU BAC;8 Rue du Bac
84;21 rue georges appay;21 rue georges appay;21 RUE GEORGES APPAY;21 Rue Georges Appay
85;24 avenue de fouilleuse;24 avenue de fouilleuse;24 AVENUE DE FOUILLEUSE;24 Avenue de Fouilleuse
86;20 rue de sèvres;20 rue de sèvres;20 RUE DE SÈVRES;20 Rue de Sèvres
87;58bis rue du val d'or;58 bis rue du val d'or;58 BIS RUE DU VAL D'OR;58 Bis Rue du Val d'Or
88;16 rue des pavillons;16 rue des pavillons;16 RUE DES PAVILLONS;16 Rue des Pavillons
89;10 allée louis chevrolet;10 allée louis chevrolet;10 ALLÉE LOUIS CHEVROLET;10 Allée Louis Chevrolet
90;99 rue des chênes;99 rue des chênes;99 RUE DES CHÊNES;99 Rue des Chênes
91;53 rue des parigots;53 rue des parigots;53 RUE DES PARIGOTS;53 Rue des Parigots
92;3 allée des bochoux;3 allée des bochoux;3 ALLÉE DES BOCHOUX;3 Allée des Bochoux
93;15 rue du chemin vert;15 rue du chemin vert;15 RUE DU CHEMIN VERT;15 Rue du Chemin Vert
94;5 allée edgar fournier;5 allée edgar fournier;5 ALLÉE EDGAR FOURNIER;5 Allée Edgar Fournier
95;1 rue michelet;1 rue michelet;1 RUE MICHELET;1 Rue Michelet
96;15 rue merlin de thionville;15 rue merlin de thionville;15 RUE MERLIN DE THIONVILLE;15 Rue Merlin de Thionville
97;7bis rue honoré d'estienne d'orves;7 bis rue honoré d'estienne d'orves;7 BIS RUE HONORÉ D'ESTIENNE D'ORVES;7 Bis Rue Honoré d'Estienne d'Orves
98;62 avenue franklin roosevelt;62 avenue franklin roosevelt;62 AVENUE FRANKLIN ROOSEVELT;62 Avenue Franklin Roosevelt
99;69 rue des bas rogers;69 rue des bas rogers;69 RUE DES BAS ROGERS;69 Rue des Bas Rogers
100;61 rue gardenat lapostol;61 rue gardenat lapostol;61 RUE GARDENAT LAPOSTOL;61 Rue Gardenat Lapostol
101;21 rue de sèvres;21 rue de sèvres;21 RUE DE SÈVRES;21 Rue de Sèvres
102;44 rue du fécheray;44 rue du fécheray;44 RUE DU FÉCHERAY;44 Rue du Fécheray
103;80 rue des cherchevets;80 rue des cherchevets;80 RUE DES CHERCHEVETS;80 Rue des Cherchevets
104;41 rue pasteur;41 rue pasteur;41 RUE PASTEUR;41 Rue Pasteur
105;6 allée edgard fournier;6 allée edgar fournier;6 ALLÉE EDGAR FOURNIER;6 Allée Edgar Fournier
106;28 rue victor hugo;28 rue victor hugo;28 RUE VICTOR HUGO;28 Rue Victor Hugo
107;57 route des fusillés de la résistance;57 route des fusillés de la résistance;57 ROUTE DES FUSILLÉS DE LA RÉSISTANCE;57 Route des Fusillés de la Résistance
108;66 rue gambetta;66 rue gambetta;66 RUE GAMBETTA;66 Rue Gambetta
109;3 rue jacques decour;3 rue jacques decour;3 RUE JACQUES DECOUR;3 Rue Jacques Decour
110;16 rue gabriel philippe;16 rue gabriel philippe;16 RUE GABRIEL PHILIPPE;16 Rue Gabriel Philippe
111;8 allée louis chevrolet;8 allée louis chevrolet;8 ALLÉE LOUIS CHEVROLET;8 Allée Louis Chevrolet
112;9 rue carnot;9 rue carnot;9 RUE CARNOT;9 Rue Carnot
113;6 place de la halle;6 place de la halle;6 PLACE DE LA HALLE;6 Place de la Halle
114;95 boulevard du maréchal de lattre de tassigny;95 boulevard maréchal de lattre de tassigny;95 BOULEVARD MARÉCHAL DE LATTRE DE TASSIGNY;95 Boulevard Maréchal de Lattre de Tassigny
115;120 boulevard henri sellier;120 boulevard henri sellier;120 BOULEVARD HENRI SELLIER;120 Boulevard Henri Sellier
116;2 allée des violettes;2 allée des violettes;2 ALLÉE DES VIOLETTES;2 Allée des Violettes
117;23 avenue jean jaures;23 avenue jean jaurès;23 AVENUE JEAN JAURÈS;23 Avenue Jean Jaurès
118;rue des cherchevets; rue des cherchevets; RUE DES CHERCHEVETS; Rue des Cherchevets
119;49 rue rouget de lisle;49 rue rouget de lisle;49 RUE ROUGET DE LISLE;49 Rue Rouget de Lisle
120;4 rue claude burgod;4 rue claude burgod;4 RUE CLAUDE BURGOD;4 Rue Claude Burgod
121;4 rue des parigots;4 rue des parigots;4 RUE DES PARIGOTS;4 Rue des Parigots
122;17 rue perronet;17 rue perronet;17 RUE PERRONET;17 Rue Perronet
123;19 allée santos dumont;19 allée santos dumont;19 ALLÉE SANTOS DUMONT;19 Allée Santos Dumont
124;2 allée des orangers;2 allée des orangers;2 ALLÉE DES ORANGERS;2 Allée des Orangers
125;6 rue du bac;6 rue du bac;6 RUE DU BAC;6 Rue du Bac
126;7 avenue maréchal juin;7 avenue du maréchal juin;7 AVENUE DU MARÉCHAL JUIN;7 Avenue du Maréchal Juin
127;132 boulevard de la république;132 rue de la république;132 RUE DE LA RÉPUBLIQUE;132 Rue de la République
128;9 allée des primeveres;9 allée des primevères;9 ALLÉE DES PRIMEVÈRES;9 Allée des Primevères
129;74 rue carnot;74 rue carnot;74 RUE CARNOT;74 Rue Carnot
